study_id,cmoc_id,study_title,year,doi,source_id,source_text_path,evidence_level,source_text_length,model_pts,model_polarity,model_context_code,model_context_text,model_intervention_code,model_intervention_text,model_mechanism_code,model_mechanism_text,model_outcome_code,model_outcome_text,model_relationship_triples,evidence_quote,quote_support_context,quote_support_intervention,quote_support_mechanism,quote_support_outcome,evidence_support_score,human_corrected_context,human_corrected_intervention,human_corrected_mechanism,human_corrected_outcome,human_corrected_triples,human_corrected_pts,decision_status,review_priority,ai_adjudication_confidence,error_category,reviewer_notes
S001,S001_CMOC1,"18  Reprinted from Australian Family Physician Vol. 41, No. 1/2 january/february 2012",,,201201linn.pdf,d:\LLM-Knowledge-Graph\graphrag\input\201201linn.pdf.txt,Full-text,15377,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E15,explicit and clear explanation of expert's reasoning,E27,build understanding,E25,high diagnostic accuracy,E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,"C: novice learners, such as medical students, have limited clinical experience and therefore need to approach most consultations in a more analytical way. | I: the teacher explaining the reasoning processes used including hypothesising, hypothesis testing, re-analysis and differential diagnosis. | M: this is to assist the student to understand what the clinician was thinking and how they were reasoning. | O: improving time to diagnosis.",partial_8_word,exact,exact,exact,0.938,E02,E15,E27,E25,E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,PTS1,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S001,S001_CMOC2,"18  Reprinted from Australian Family Physician Vol. 41, No. 1/2 january/february 2012",,,201201linn.pdf,d:\LLM-Knowledge-Graph\graphrag\input\201201linn.pdf.txt,Full-text,15377,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E10,"real-life scenarios, including simulation and simulated patients",E26,grateful for the learning experience,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,"C: the idea of a ‘coach’ to assist the student during an evolving consultation is highlighted as essential. | I: this approach used with a single student would remain beneficial, even potentially enhanced. | M: students having a basic understanding of the theoretical concepts behind clinical reasoning to improve understanding. | O: improving patient satisfaction and being branded with the ‘good doctor’ label.",exact,exact,exact,exact,1.0,E04,E10,E26,E22,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,PTS3,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S001,S001_CMOC3,"18  Reprinted from Australian Family Physician Vol. 41, No. 1/2 january/february 2012",,,201201linn.pdf,d:\LLM-Knowledge-Graph\graphrag\input\201201linn.pdf.txt,Full-text,15377,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E38,negative learning outcomes,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,"C: students can find it challenging to know how to navigate the information during a patient interaction. | I: if the student’s reasoning is unclear, the clinical teacher can interject with questions. | M: students can find it challenging to know how to navigate the information during a patient interaction. | O: a diagnosis that could have been made with a careful history and physical examination may end up taking two or three consultations.",partial_8_word,exact,partial_8_word,partial_8_word,0.812,E05,E14,E45,E38,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.934,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S002,S002_CMOC1,Coordination of Analytic and Similarity-Based Processing Strategies and Expertise in Dermatological Diagnosis,2001,10.1207/S15328015TLM1302_6,https://pubmed.ncbi.nlm.nih.gov/11302031/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_11302031.txt,Abstract Only,1691,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E39,build upon what they already know,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E46,C: preclinical medical students enhanced their performance by adopting a similarity-based strategy. | I: the relative reliance on analytic and similarity-based processes is amenable to instruction. | M: students enhanced their performance by adopting a similarity-based strategy. | O: these results indicate that both processes are operative.,exact,exact,exact,not_found,0.841,E02,E18,E39,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.794,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: mechanism:E39_not_in_E20/E27, outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S002,S002_CMOC2,Coordination of Analytic and Similarity-Based Processing Strategies and Expertise in Dermatological Diagnosis,2001,10.1207/S15328015TLM1302_6,https://pubmed.ncbi.nlm.nih.gov/11302031/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_11302031.txt,Abstract Only,1691,PTS2,Positive,E03,students with high clinical domain-specific knowledge,E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E24,rely on non-analytical reasoning,E25,high diagnostic accuracy,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E24; E24-[LEADS_TO]->E25,C: residents enhanced their performance by adopting an analytic strategy. | I: the relative reliance on analytic and similarity-based processes is amenable to instruction. | M: residents enhanced their performance by adopting an analytic strategy. | O: these results indicate that both processes are operative.,partial_8_word,exact,partial_8_word,not_found,0.716,E03,E18,E24,E25,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E24; E24-[LEADS_TO]->E25,PTS2,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.751,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: intervention:E18_not_in_E10/E11; predicate aliases normalized: no."
S003,S003_CMOC1,“Clinical Reasoning Theater”,2003,10.1097/00001888-200303000-00017,https://pubmed.ncbi.nlm.nih.gov/12634216/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_12634216.txt,Abstract Only,1510,PTS5,Positive,E06,students with different levels of knowledge within a group,E07,an expert's reasoning processes or thoughts are explicitly revealed and discussed,E39,build upon what they already know,E22,positive learning experience,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E22,"C: students as the audience, the doctor's clinical reasoning skills are modeled in CRT | I: the doctor explains his or her reflections and discusses suggestions from the audience for additional questions | M: students appreciate CRT | O: students' evaluations of the relevance of CRT reveal that they appreciate CRT",exact,exact,not_found,exact,0.816,E06,E07,E39,E22,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E22,PTS5,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.786,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: outcome:E22_not_in_E29/E43/E44/E46; predicate aliases normalized: no."
S003,S003_CMOC2,“Clinical Reasoning Theater”,2003,10.1097/00001888-200303000-00017,https://pubmed.ncbi.nlm.nih.gov/12634216/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_12634216.txt,Abstract Only,1510,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E10,"real-life scenarios, including simulation and simulated patients",E26,grateful for the learning experience,E28,positive impact on learning,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E28,C: students appreciate CRT | I: demonstrate the process of clinical reasoning to students through the conversation of a doctor with his or her patient | M: students appreciate CRT | O: the CRT format offers instructors with previous experience as lecturers only sufficient tools to apply the new approach successfully,not_found,exact,not_found,exact,0.632,E04,E10,E26,E28,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E28,PTS3,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.871,provisional_evidence_level; weak_quote_support,"AI-assisted draft, not final human gold. Evidence support 2/4; chain issues: none; predicate aliases normalized: no."
S004,S004_CMOC1,Giving Learners the Best of Both Worlds: Do Clinical Teachers Need to Guard Against Teaching Pattern Recognition to Novices?,2006,10.1097/00001888-200604000-00017,https://pubmed.ncbi.nlm.nih.gov/16565197/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_16565197.txt,Abstract Only,1790,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,"C: 48 undergraduate psychology students from McMaster University... were taught to diagnose ten cardiac disorders. | I: the groups instructed to use both strategies (explicitly or implicitly) performed significantly better. | M: the results support an additive model of clinical reasoning. | O: performed significantly better (56% and 53%, respectively; p < .01).",not_found,exact,exact,exact,0.879,E02,E18,E27,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.808,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S004,S004_CMOC2,Giving Learners the Best of Both Worlds: Do Clinical Teachers Need to Guard Against Teaching Pattern Recognition to Novices?,2006,10.1097/00001888-200604000-00017,https://pubmed.ncbi.nlm.nih.gov/16565197/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_16565197.txt,Abstract Only,1790,PTS1,Negative,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E08,instructed to use analytical reasoning alone,E45,confusion,E36,poor illness script development,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: 48 undergraduate psychology students from McMaster University... were taught to diagnose ten cardiac disorders. | I: No difference in diagnostic accuracy was observed between the groups given the feature first (42%) and first impression (41%) instructions. | M: No difference in diagnostic accuracy was observed between the groups. | O: No difference in diagnostic accuracy was observed between the groups.,not_found,exact,exact,exact,0.879,E02,E08,E45,E36,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.808,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: intervention:E08_not_in_E07/E15/E18, mechanism:E45_not_in_E20/E27, outcome:E36_not_in_E25/E29/E30; predicate aliases normalized: no."
S005,S005_CMOC1,Teaching from the clinical reasoning literature: combined reasoning strategies help novice diagnosticians overcome misleading information,2007,10.1111/j.1365-2923.2007.02923.x,EBSCO-FullText-01_02_2026 (1).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (1).pdf.txt,Full-text,33360,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E25,high diagnostic accuracy,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,C: Undergraduate psychology students were trained to diagnose 10 cardiac conditions via ECG presentation. | I: the instruction to utilise a combined reasoning approach resulted in greater diagnostic accuracy. | M: explicitly telling novice diagnosticians to utilise multiple forms of reasoning can result in improved diagnostic accuracy. | O: the instruction to utilise a combined reasoning approach resulted in greater diagnostic accuracy.,exact,not_found,partial_8_word,not_found,0.682,E02,E18,E27,E25,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,PTS1,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.889,weak_quote_support,"AI-assisted draft, not final human gold. Evidence support 2/4; chain issues: none; predicate aliases normalized: no."
S005,S005_CMOC2,Teaching from the clinical reasoning literature: combined reasoning strategies help novice diagnosticians overcome misleading information,2007,10.1111/j.1365-2923.2007.02923.x,EBSCO-FullText-01_02_2026 (1).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (1).pdf.txt,Full-text,33360,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: participants in the no-instruction condition would have been influenced by similarity when making their diagnostic decisions. | I: participants who had been explicitly told to trust feelings of familiarity and to be careful not to overlook presenting features. | M: participants in the no-instruction condition did not perform as successfully. | O: participants in the no-instruction condition did not perform as successfully.,partial_8_word,partial_8_word,not_found,not_found,0.506,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.827,weak_quote_support,"AI-assisted draft, not final human gold. Evidence support 2/4; chain issues: none; predicate aliases normalized: no."
S006,S006_CMOC1,The benefits of flexibility: the pedagogical value of instructions to adopt multifaceted diagnostic reasoning strategies,2007,10.1111/j.1365-2929.2007.02688.x,EBSCO-FullText-01_02_2026 (2).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (2).pdf.txt,Full-text,32669,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E25,high diagnostic accuracy,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,C: naïve students were trained to identify features on electrocardiograms (ECGs) and assign diagnoses. | I: participants were instructed to carefully identify all features while trusting guidance provided by feelings of familiarity. | M: instructions to utilise a combined reasoning strategy can improve performance. | O: Greater diagnostic accuracy was achieved following both contrastive learning and instructions to use a combined reasoning strategy.,exact,partial_8_word,exact,exact,0.938,E02,E18,E27,E25,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,PTS1,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S006,S006_CMOC2,The benefits of flexibility: the pedagogical value of instructions to adopt multifaceted diagnostic reasoning strategies,2007,10.1111/j.1365-2929.2007.02688.x,EBSCO-FullText-01_02_2026 (2).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (2).pdf.txt,Full-text,32669,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E09,teaching resources that allow them to make mistakes,E26,grateful for the learning experience,E22,positive learning experience,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,"C: students might naturally utilise a combined reasoning strategy. | I: the need to assess such a comparison provided the first objective of this study. | M: the conclusion that contrastive learning and combined reasoning instructions hold pedagogical value. | O: students might naturally utilise a combined reasoning strategy, but they appear to do so with less benefit.",exact,partial_8_word,exact,partial_8_word,0.875,E04,E09,E26,E22,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,PTS3,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S007,S007_CMOC1,"Fostering diagnostic knowledge through computer‐supported, case‐based worked examples: effects of erroneous examples and feedback",2008,10.1111/j.1365-2923.2008.03122.x,EBSCO-FullText-01_02_2026 (10).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (10).pdf.txt,Full-text,32206,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E09,teaching resources that allow them to make mistakes,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E09-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: medical students at the end of their clinical studies proceed in an additive and mechanistic way. | I: the acquisition of diagnostic knowledge is mainly supported by providing erroneous examples in combination with elaborated feedback. | M: learners must identify the error and understand the correct solution by systematically comparing the incorrect solution with the correct one. | O: the effects of the learning environment proved sustainable.,exact,partial_8_word,exact,exact,0.938,E02,E09,E27,E46,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: intervention:E09_not_in_E07/E15/E18, outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S007,S007_CMOC2,"Fostering diagnostic knowledge through computer‐supported, case‐based worked examples: effects of erroneous examples and feedback",2008,10.1111/j.1365-2923.2008.03122.x,EBSCO-FullText-01_02_2026 (10).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (10).pdf.txt,Full-text,32206,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,"C: the information that a specific diagnostic conclusion or procedure is not adequate seems not to be sufficient to induce deep conceptual understanding. | I: When only KCR feedback is given, erroneous examples are detrimental. | M: the information deﬁcit in the conditions with KCR feedback... must be compensated for by effective self-explanation. | O: the unfavourable effect of erroneous examples in combination with KCR feedback on knowledge acquisition replicates findings.",partial_8_word,not_found,partial_8_word,partial_8_word,0.662,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.882,none,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: none; predicate aliases normalized: no."
S008,S008_CMOC1,Integrated Cases Section: A Course Designed to Promote Clinical Reasoning in Year 2 Medical Students,2010,10.1080/10401334.2010.512835,https://pubmed.ncbi.nlm.nih.gov/20936581/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_20936581.txt,Abstract Only,1291,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: Medical students often have difficulty applying basic science knowledge within clinical contexts as they transition into clerkships. | I: Curricular instruction incorporated analytic and nonanalytic clinical reasoning models. | M: Students reported increased confidence in their diagnostic reasoning ability during the course. | O: Students clinical reasoning showed a significant gain after the Integrated Cases Section on a script concordance test.,exact,exact,exact,exact,1.0,E02,E18,E27,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.85,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S008,S008_CMOC2,Integrated Cases Section: A Course Designed to Promote Clinical Reasoning in Year 2 Medical Students,2010,10.1080/10401334.2010.512835,https://pubmed.ncbi.nlm.nih.gov/20936581/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_20936581.txt,Abstract Only,1291,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E10,"real-life scenarios, including simulation and simulated patients",E26,grateful for the learning experience,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,C: Students reported increased confidence in their diagnostic reasoning ability during the course. | I: Practice with variable case scenarios enhanced students application of basic science knowledge to clinical problem solving. | M: Students reported increased confidence in their diagnostic reasoning ability during the course. | O: Students clinical reasoning showed a significant gain after the Integrated Cases Section on a script concordance test.,exact,exact,exact,exact,1.0,E04,E10,E26,E22,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,PTS3,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.95,provisional_evidence_level,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S009,S009_CMOC1,To Think Is Good: Querying an Initial Hypothesis Reduces Diagnostic Error in Medical Students,2010,10.1097/ACM.0b013e3181e1b229,https://pubmed.ncbi.nlm.nih.gov/20592507/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_20592507.txt,Abstract Only,1699,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: first-year medical students from the University of Calgary | I: querying an initial diagnostic hypothesis | M: allows students to rectify an incorrect diagnosis | O: final diagnoses were more accurate than initial diagnoses,exact,exact,exact,exact,1.0,E02,E18,E27,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.85,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
